	(1)	(2)	(3)
VARIABLES	headroom	headroom	headroom
			
weight	0.001	0.001	0.000
	(0.001)	(0.001)	(0.001)
wtsq	-0.000	-0.000	-0.000
	(0.000)	(0.000)	(0.000)
foreign		0.002	-0.003
		(0.207)	(0.208)
length			0.021**
			(0.009)
			
Observations	74	74	74
R-squared	0.236	0.236	0.267
Robust standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
