	(1)	(2)	(3)
VARIABLES	ppu	ppu	ppu
			
m1_20	0.250***	0.196***	0.196***
	(0.017)	(0.046)	(0.023)
m1	-0.011**	-0.022*	-0.042***
	(0.005)	(0.011)	(0.008)
ym	0.010***	0.006***	0.010***
	(0.000)	(0.000)	(0.000)
			
Observations	5,366	1,185	3,267
R-squared	0.920	0.738	0.869
Number of cve_ciudad	46	22	41
Standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
