	(1)	(2)	(3)	(4)
VARIABLES	ppu	ppu	ppu	ppu
				
m1_20	0.204***	0.236***	0.273***	0.254***
	(0.049)	(0.051)	(0.076)	(0.050)
m1	-0.020	-0.028*	-0.018	-0.025
	(0.015)	(0.015)	(0.022)	(0.016)
ym	0.009***	0.010***	0.008***	0.010***
	(0.000)	(0.000)	(0.000)	(0.000)
				
Observations	809	574	612	676
R-squared	0.870	0.903	0.768	0.899
Number of marca	7	7	7	7
Standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
