	(1)	(2)	(3)
VARIABLES	ppu1	ppu2	ppu5
			
m1_20	0.156***	0.135***	0.151***
	(0.018)	(0.018)	(0.012)
m1_21	0.077	0.027	0.070
	(0.000)	(0.000)	(0.000)
m1	0.024***	0.000	0.003
	(0.004)	(0.004)	(0.002)
ym	0.009***	0.009***	0.009***
	(0.000)	(0.000)	(0.000)
			
Observations	2,543	2,543	2,543
Number of cve_ciudad	45	45	45
Standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
