	(1)	(2)	(3)
VARIABLES	ppu	ppu	ppu
			
tax2020	0.319***	0.329***	0.302***
	(0.0701)	(0.0684)	(0.0524)
0b.tax2020#0b.sexo	0	0	
	(0)	(0)	
0b.tax2020#1.sexo	0.0373	0.0414	
	(0.103)	(0.103)	
1o.tax2020#0b.sexo	0	0	
	(0)	(0)	
1o.tax2020#1o.sexo	0	0	
	(0)	(0)	
0b.tax2020#0b.singles	0		0
	(0)		(0)
0b.tax2020#1.singles	-0.166		-0.171
	(0.244)		(0.244)
1o.tax2020#0b.singles	0		0
	(0)		(0)
1o.tax2020#1o.singles	0		0
	(0)		(0)
sexo	-0.132	-0.134	-0.114
	(0.0912)	(0.0911)	(0.0766)
2.edad_gr2	0.00291	-0.00266	0.000632
	(0.205)	(0.205)	(0.205)
3.edad_gr2	0.00408	0.00257	0.00321
	(0.199)	(0.199)	(0.199)
4.edad_gr2	0.0403	0.0373	0.0380
	(0.197)	(0.197)	(0.197)
5.edad_gr2	0.249	0.247	0.248
	(0.203)	(0.203)	(0.203)
6.edad_gr2	-0.137	-0.138	-0.139
	(0.193)	(0.193)	(0.193)
7.edad_gr2	-0.393**	-0.396**	-0.395**
	(0.199)	(0.199)	(0.199)
8.edad_gr2	-0.905***	-0.912***	-0.905***
	(0.328)	(0.328)	(0.328)
2.educ_gr2	-0.257	-0.252	-0.256
	(0.560)	(0.560)	(0.560)
3.educ_gr2	-0.112	-0.109	-0.110
	(0.559)	(0.559)	(0.559)
4.educ_gr2	0.103	0.103	0.104
	(0.554)	(0.554)	(0.554)
5.educ_gr2	0.0390	0.0372	0.0389
	(0.560)	(0.560)	(0.560)
6.educ_gr2	0.183	0.184	0.184
	(0.555)	(0.555)	(0.556)
7.educ_gr2	0.178	0.180	0.177
	(0.577)	(0.577)	(0.577)
9.educ_gr2	-0.488	-0.519	-0.472
	(0.747)	(0.745)	(0.745)
2.gr_ingr	-0.132	-0.134	-0.137
	(0.260)	(0.260)	(0.259)
3.gr_ingr	0.00808	0.00584	0.00458
	(0.230)	(0.230)	(0.230)
4.gr_ingr	-0.109	-0.107	-0.111
	(0.225)	(0.225)	(0.225)
5.gr_ingr	0.138	0.133	0.136
	(0.216)	(0.216)	(0.216)
6.gr_ingr	0.0273	0.0230	0.0231
	(0.220)	(0.219)	(0.219)
7.gr_ingr	0.130	0.128	0.127
	(0.218)	(0.218)	(0.218)
8.gr_ingr	0.460*	0.455*	0.457*
	(0.251)	(0.251)	(0.251)
99.gr_ingr	0.113	0.104	0.110
	(0.250)	(0.249)	(0.249)
singles	2.038***	1.953***	2.040***
	(0.194)	(0.148)	(0.194)
Constant	3.091***	3.090***	3.104***
	(0.614)	(0.614)	(0.613)
			
Observations	840	840	840
Number of id_num	473	473	473
Standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
