	(1)	(2)	(3)	(4)
VARIABLES	ppu	ppu	ppu	ppu
				
tax2020	0.120***	0.0789*	0.106***	0.0600
	(0.0432)	(0.0436)	(0.0365)	(0.0470)
covid19	0.203***	0.172***	0.193***	
	(0.0433)	(0.0510)	(0.0384)	
sexo	0.0399	-0.1000	0.0401	-0.0145
	(0.0361)	(0.233)	(0.0413)	(0.261)
2.edad_gr3	-0.149**	-0.194	-0.154**	-0.0221
	(0.0667)	(0.281)	(0.0718)	(0.379)
3.edad_gr3	-0.0939	0.136	-0.0863	0.520
	(0.0669)	(0.333)	(0.0729)	(0.433)
4.edad_gr3	-0.101	0.335	-0.0576	0.761
	(0.0701)	(0.397)	(0.0779)	(0.535)
5.edad_gr3	-0.0366	0.343	-0.0602	0.788
	(0.0764)	(0.454)	(0.0853)	(0.560)
6.edad_gr3	-0.239***	0.840	-0.215***	1.565**
	(0.0673)	(0.561)	(0.0753)	(0.663)
7.edad_gr3	-0.351***	0.545	-0.330***	1.180
	(0.0763)	(0.630)	(0.0858)	(0.744)
3.educ_gr3	0.0418	0.223	0.103	0.0835
	(0.0788)	(0.239)	(0.0871)	(0.311)
4.educ_gr3	0.143**	0.145	0.173**	-0.0138
	(0.0671)	(0.227)	(0.0744)	(0.305)
5.educ_gr3	0.0902	-0.0522	0.122	-0.132
	(0.0719)	(0.257)	(0.0791)	(0.326)
6.educ_gr3	0.384***	-0.163	0.399***	-0.148
	(0.0701)	(0.261)	(0.0782)	(0.339)
9.educ_gr3	0.458***	0.00799	0.438***	-0.537
	(0.105)	(0.298)	(0.115)	(0.381)
5.ingr_gr	0.104**	0.0865	0.116**	0.121
	(0.0512)	(0.0995)	(0.0524)	(0.120)
6.ingr_gr	0.187***	0.0357	0.155**	0.0555
	(0.0597)	(0.120)	(0.0614)	(0.144)
7.ingr_gr	0.200***	0.0216	0.178***	0.175
	(0.0582)	(0.139)	(0.0618)	(0.170)
99.ingr_gr	-0.0842	0.224	-0.0493	0.237
	(0.0892)	(0.191)	(0.0944)	(0.220)
2.tipo_cons	2.810***	2.827***	2.821***	2.624***
	(0.0962)	(0.159)	(0.0956)	(0.219)
3.tipo_cons	0.111***	-0.0192	0.0649	-0.0715
	(0.0404)	(0.0858)	(0.0428)	(0.1000)
4.tipo_cons	2.799***	3.273***	2.836***	3.190***
	(0.0555)	(0.127)	(0.0583)	(0.158)
Constant	2.629***	2.513***	2.610***	2.121***
	(0.0864)	(0.399)	(0.0935)	(0.560)
				
Observations	4,073	4,073	4,073	1,350
R-squared	0.477	0.459		0.435
Number of id_num		2,631	2,631	450
Standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
