	(1)	(2)	(3)
VARIABLES	ppu	ppu	ppu
			
m1	-0.018***	-0.046***	-0.012
	(0.004)	(0.008)	(0.008)
m1_20	0.233***	0.175***	0.193***
	(0.011)	(0.019)	(0.029)
ym	0.010***	0.010***	0.007***
	(0.000)	(0.000)	(0.000)
			
Observations	13,598	5,256	3,917
R-squared	0.916	0.868	0.774
Standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
